id,origin,cs,power,destination,path
137,16,20,50,9,"[50, 56, 60, 55, 48, 26]"
138,19,15,50,2,"[57, 45, 58, 52, 47, 19, 14]"
139,3,20,50,14,"[7, 37, 39, 75, 64, 61, 57, 44]"
140,16,15,50,7,"[49, 53, 57, 45, 58, 52, 50, 54]"
141,19,11,50,22,"[57, 44, 40, 34, 41, 46]"
142,7,5,50,21,"[17, 19, 15, 13, 25, 28, 46, 69]"
143,16,15,50,2,"[49, 53, 57, 45, 58, 52, 47, 19, 14]"
144,16,13,50,17,"[48, 27, 33, 37, 39, 75, 65, 67, 45, 58]"
145,15,15,50,19,[45]
146,21,20,50,10,"[64, 60, 55, 48]"
147,10,11,50,11,[27]
148,16,11,50,10,"[48, 27, 32]"
149,8,1,50,1,"[19, 14, 3]"
150,22,11,50,4,"[67, 44, 40, 31]"
151,12,13,50,13,[37]
152,13,13,120,23,"[39, 76]"
153,20,20,50,15,"[61, 57]"
154,16,11,50,10,"[48, 27, 32]"
155,13,13,120,10,"[38, 36, 32]"
156,10,11,50,11,[27]
157,9,5,50,5,[23]
158,16,15,50,3,"[49, 53, 57, 46, 69, 66, 74, 38, 35]"
159,6,13,50,8,"[15, 11, 8, 7, 37, 38, 35, 6, 9, 12, 16]"
160,19,11,50,11,"[57, 44, 40]"
161,17,20,50,22,"[53, 59, 63]"
162,19,5,50,5,"[58, 52, 47, 19, 15]"
163,4,15,50,16,"[10, 34, 41, 45, 58, 52]"
164,14,5,50,21,"[40, 31, 9, 13, 25, 28, 46, 69]"
165,11,11,120,16,"[32, 29]"
166,22,1,50,10,"[69, 66, 74, 38, 35, 5, 2, 6, 9, 13, 25]"
167,22,20,50,20,[68]
168,17,15,50,16,"[53, 57, 45, 58, 52]"
169,1,1,120,16,"[1, 4, 16, 22]"
170,12,20,50,6,"[37, 39, 75, 64, 60, 54, 17, 19]"
171,13,13,120,10,"[38, 36, 32]"
172,6,1,50,8,"[14, 3, 1, 4, 16]"
173,20,20,50,21,[62]
174,16,1,50,8,"[47, 19, 14, 3, 1, 4, 16]"
175,7,1,50,8,"[17, 19, 14, 3, 1, 4, 16]"
176,22,5,50,21,"[67, 43, 26, 23, 13, 25, 28, 46, 69]"
177,8,13,50,6,"[19, 15, 11, 8, 7, 37, 38, 35, 6, 9, 12]"
178,8,1,50,19,"[19, 14, 3, 1, 4, 16, 22, 49, 53]"
179,4,15,50,24,"[10, 34, 41, 46, 69, 66]"
180,6,5,50,2,"[15, 12, 14]"
181,19,20,50,20,[59]
182,10,13,50,14,"[27, 33, 37, 39, 76, 71]"
183,2,20,50,19,"[4, 16, 20, 18, 56, 61]"
184,10,20,50,19,"[29, 50, 56, 61]"
185,9,15,50,8,"[25, 28, 45, 58, 52, 47]"
186,8,11,50,17,"[22, 48, 27, 32, 29, 49]"
187,16,11,50,11,"[48, 27]"
188,7,15,50,8,"[18, 55, 49, 53, 57, 45, 58, 52, 47]"
189,9,5,50,7,"[23, 12, 16, 20]"
190,7,15,50,10,"[18, 55, 49, 53, 57, 43]"
191,17,15,50,19,"[53, 57, 45]"
192,6,20,50,16,"[16, 20, 18, 56, 60, 55]"
193,11,11,120,10,[32]
194,1,1,120,23,"[2, 7, 37, 39, 76]"
195,21,5,50,4,"[65, 67, 43, 26, 23, 11]"
196,12,5,50,5,"[35, 6, 9]"
197,19,13,50,9,"[57, 46, 69, 66, 74, 38, 36, 32, 26]"
198,3,11,50,10,"[7, 36, 32]"
199,20,20,50,17,"[61, 58]"
200,18,1,50,12,"[54, 17, 19, 14, 3, 2, 7]"
201,17,1,50,14,"[52, 47, 19, 14, 3, 2, 7, 36, 34]"
202,7,1,50,16,"[17, 19, 14, 3, 1, 4, 16, 22]"
203,2,11,50,11,"[4, 15, 11, 10]"
204,7,1,50,9,"[17, 19, 14, 3, 2, 6, 9, 13]"
205,5,5,120,6,[12]
206,19,13,50,10,"[57, 46, 69, 66, 74, 38, 36, 32]"
207,10,1,50,24,"[26, 23, 11, 8, 5, 2, 7, 37, 39]"
208,17,5,50,8,"[52, 47, 19, 15, 12, 16]"
209,12,20,50,20,"[37, 39, 75, 64]"
210,12,13,50,14,"[37, 39, 76, 71]"
211,8,1,50,23,"[19, 14, 3, 2, 7, 37, 39, 76]"
212,11,11,50,22,"[34, 41, 46]"
213,17,15,50,21,"[53, 57, 46, 69]"
214,15,15,50,5,"[43, 26, 23]"
215,15,15,50,22,[46]
216,11,11,50,23,"[34, 42]"
217,10,11,50,11,[27]
218,13,13,50,7,"[39, 75, 64, 60, 54]"
219,22,1,50,18,"[69, 66, 74, 38, 35, 5, 1, 4, 16, 20, 18]"
220,9,13,50,21,"[25, 27, 33, 37, 39, 75]"
221,24,13,50,23,"[74, 39, 76]"
222,23,5,50,6,"[71, 40, 31, 9, 12]"
223,16,11,50,8,"[48, 27, 31, 9, 12, 16]"
224,1,1,120,8,"[1, 4, 16]"
1442,19,1,120,17,"[58, 52, 47, 19, 14, 3, 1, 4, 16, 22, 49]"
1443,11,11,50,4,[31]
1444,10,5,120,2,"[26, 23, 12, 14]"
1445,12,11,120,11,[36]
1446,20,20,120,16,"[60, 55]"
1447,16,11,120,11,"[48, 27]"
1448,20,20,50,13,"[62, 66, 74]"
1449,13,13,50,14,"[39, 76, 71]"
1450,16,5,120,17,"[47, 19, 15, 12, 16, 22, 49]"
1451,10,5,120,5,"[26, 23]"
1452,16,15,120,10,"[49, 53, 57, 43]"
1453,12,15,120,10,"[37, 39, 75, 65, 67, 43]"
1454,11,11,50,10,[32]
1455,23,15,120,15,"[72, 67]"
1456,13,13,50,14,"[39, 76, 71]"
1457,16,15,120,8,"[49, 53, 57, 45, 58, 52, 47]"
1458,4,5,120,5,[9]
1459,10,5,120,16,"[26, 23, 12, 16, 22]"
1460,10,11,120,11,[27]
1461,9,15,120,15,"[25, 28]"
1462,8,20,120,12,"[20, 18, 56, 62, 66, 74, 38]"
1463,16,11,120,17,"[48, 27, 32, 29, 49]"
1464,24,15,120,23,"[75, 65, 67, 46, 70]"
1465,15,15,50,9,"[43, 26]"
1466,9,11,120,11,"[25, 27]"
1467,20,20,50,9,"[60, 55, 48, 26]"
1468,15,15,50,12,"[46, 69, 66, 74, 38]"
1469,16,15,120,8,"[49, 53, 57, 45, 58, 52, 47]"
1470,8,11,120,6,"[22, 48, 27, 31, 9, 12]"
1471,10,1,120,22,"[26, 23, 11, 8, 5, 2, 7, 37, 39, 75, 65]"
1472,20,20,120,16,"[60, 55]"
1473,1,1,120,9,"[2, 6, 9, 13]"
1474,10,15,120,15,[28]
1475,4,11,120,11,[10]
1476,20,20,120,18,[60]
1477,9,5,120,10,"[23, 13, 25]"
1478,24,11,120,10,"[76, 71, 40, 32]"
1479,9,1,120,10,"[23, 11, 8, 5, 2, 6, 9, 13, 25]"
1480,16,20,120,10,"[50, 56, 60, 55, 48]"
1481,12,1,120,4,"[35, 5, 2, 6]"
1482,15,15,120,22,[46]
1483,10,11,120,19,"[27, 34, 41, 45]"
1484,11,11,50,22,"[34, 41, 46]"
1485,9,1,120,10,"[23, 11, 8, 5, 2, 6, 9, 13, 25]"
1486,12,15,120,23,"[37, 39, 75, 65, 67, 46, 70]"
1487,4,5,120,23,"[9, 11, 10, 34, 42]"
1488,17,5,120,14,"[52, 47, 19, 15, 11, 10, 34]"
1489,22,20,120,17,"[68, 61, 58]"
1490,10,13,120,19,"[27, 33, 37, 39, 75, 65, 67, 45]"
1491,15,15,50,20,"[45, 59]"
1492,24,15,120,15,"[75, 65, 67]"
1493,17,1,120,16,"[52, 47, 19, 14, 3, 1, 4, 16, 22]"
1494,8,20,120,14,"[20, 18, 56, 61, 57, 44]"
1495,10,11,120,11,[27]
1496,13,13,120,20,"[39, 75, 64]"
1497,13,13,50,24,[39]
1498,10,5,120,16,"[26, 23, 12, 16, 22]"
1499,17,15,120,15,"[53, 57]"
1500,1,1,50,10,"[2, 6, 9, 13, 25]"
1501,20,20,120,14,"[61, 57, 44]"
1502,13,13,50,10,"[38, 36, 32]"
1503,20,20,120,10,"[60, 55, 48]"
1504,20,20,120,10,"[60, 55, 48]"
1505,16,1,120,6,"[47, 19, 14, 3, 1, 4]"
1506,23,11,120,22,"[71, 40, 34, 41, 46]"
1507,1,1,50,10,"[2, 6, 9, 13, 25]"
1508,17,1,120,10,"[52, 47, 19, 14, 3, 2, 6, 9, 13, 25]"
1509,17,1,120,23,"[52, 47, 19, 14, 3, 2, 7, 37, 39, 76]"
1510,12,13,120,23,"[37, 39, 76]"
1511,23,20,120,20,"[72, 68]"
1512,10,1,120,12,"[26, 23, 11, 8, 5, 2, 7]"
1513,5,5,50,10,"[13, 25]"
1514,15,15,50,22,[46]
1515,15,15,50,17,"[45, 58]"
1516,12,11,120,11,[36]
1517,1,1,50,7,"[1, 4, 16, 20]"
1518,9,5,120,5,[23]
1519,15,15,120,7,"[45, 58, 52, 50, 54]"
1520,15,15,120,11,"[44, 40]"
1521,11,11,120,16,"[32, 29]"
1522,21,13,120,13,"[66, 74]"
1523,7,1,120,9,"[17, 19, 14, 3, 2, 6, 9, 13]"
1524,20,20,50,10,"[60, 55, 48]"
1525,20,20,120,14,"[61, 57, 44]"
1526,22,1,120,1,"[69, 66, 74, 38, 35, 5]"
1527,21,13,120,22,"[66, 74, 39, 75, 65]"
1528,22,15,120,21,"[67, 46, 69]"
1529,8,13,120,19,"[19, 15, 11, 8, 7, 37, 39, 75, 65, 67, 45]"
1530,14,1,120,10,"[40, 33, 35, 5, 2, 6, 9, 13, 25]"
1531,11,11,120,13,"[33, 37]"
1532,17,1,120,22,"[52, 47, 19, 14, 3, 2, 7, 37, 39, 75, 65]"
1533,22,20,120,20,[68]
1534,16,1,120,18,"[47, 19, 14, 3, 1, 4, 16, 20, 18]"
1535,15,15,50,17,"[45, 58]"
1536,22,5,120,21,"[67, 43, 26, 23, 13, 25, 28, 46, 69]"
1537,20,20,50,23,"[63, 70]"
1538,9,1,120,1,"[23, 11, 8, 5]"
1539,10,1,120,1,"[26, 23, 11, 8, 5]"
1540,15,15,50,11,"[44, 40]"
1541,1,1,50,17,"[1, 4, 16, 22, 49]"
1542,12,11,120,11,[36]
1543,7,5,120,16,"[17, 19, 15, 12, 16, 22]"
1544,22,15,120,15,[67]
1545,24,20,120,10,"[75, 64, 60, 55, 48]"
1546,22,13,120,12,"[69, 66, 74, 38]"
1547,15,15,120,11,"[44, 40]"
1548,22,5,120,16,"[67, 43, 26, 23, 12, 16, 22]"
1549,10,1,120,16,"[26, 23, 11, 8, 5, 1, 4, 16, 22]"
1550,1,1,120,17,"[1, 4, 16, 22, 49]"
1551,1,1,50,17,"[1, 4, 16, 22, 49]"
1552,8,15,120,4,"[22, 49, 53, 57, 44, 40, 31]"
1553,15,15,120,14,[44]
1554,13,13,120,19,"[39, 75, 65, 67, 45]"
1555,7,20,120,10,"[18, 56, 60, 55, 48]"
1556,10,20,120,9,"[29, 50, 56, 60, 55, 48, 26]"
1557,5,5,120,16,"[12, 16, 22]"
1558,9,15,120,23,"[25, 28, 46, 70]"
1559,24,1,120,22,"[74, 38, 35, 5, 2, 7, 37, 39, 75, 65]"
1560,22,13,120,23,"[69, 66, 74, 39, 76]"
1561,10,20,120,20,"[29, 50, 56]"
1562,11,11,50,15,"[34, 41]"
1563,17,13,120,8,"[53, 57, 46, 69, 66, 74, 38, 35, 6, 9, 12, 16]"
1564,12,13,120,13,[37]
1565,14,11,120,11,[40]
1566,3,11,120,11,"[6, 10]"
1567,22,15,120,21,"[67, 46, 69]"
1568,13,13,50,11,"[38, 36]"
1569,16,5,120,10,"[47, 19, 15, 13, 25]"
1570,15,15,120,22,[46]
1571,10,15,120,15,[28]
1572,10,5,120,9,"[26, 23, 13]"
1573,22,1,120,24,"[69, 66, 74, 38, 35, 5, 2, 7, 37, 39]"
1574,11,11,120,10,[32]
1575,10,20,120,16,"[29, 50, 56, 60, 55]"
1576,11,11,50,13,"[33, 37]"
1577,16,1,120,22,"[47, 19, 14, 3, 2, 7, 37, 39, 75, 65]"
1578,18,5,120,17,"[54, 17, 19, 15, 12, 16, 22, 49]"
1579,6,13,120,8,"[15, 11, 8, 7, 37, 38, 35, 6, 9, 12, 16]"
1580,15,15,120,10,[43]
1581,10,20,120,7,"[29, 50, 56, 60, 54]"
1582,10,15,120,15,[28]
1583,12,5,120,19,"[35, 6, 9, 12, 16, 22, 49, 53]"
1584,17,1,120,22,"[52, 47, 19, 14, 3, 2, 7, 37, 39, 75, 65]"
1585,4,11,120,11,[10]
1586,11,11,120,20,"[32, 29, 50, 56]"
1587,11,11,50,6,"[31, 9, 12]"
1588,13,13,50,12,[38]
1589,17,5,120,10,"[52, 47, 19, 15, 13, 25]"
1590,9,5,120,5,[23]
1591,10,11,120,7,"[27, 32, 29, 50, 54]"
1592,7,20,120,10,"[18, 56, 60, 55, 48]"
1593,16,5,120,5,"[47, 19, 15]"
1594,22,15,120,15,[67]
1595,10,15,120,7,"[28, 45, 58, 52, 50, 54]"
1596,15,15,50,10,[43]
1597,15,15,50,17,"[45, 58]"
1598,17,1,120,10,"[52, 47, 19, 14, 3, 2, 6, 9, 13, 25]"
1599,9,20,120,10,"[25, 29, 50, 56, 60, 55, 48]"
1600,10,20,120,7,"[29, 50, 56, 60, 54]"
1601,20,20,50,16,"[60, 55]"
1602,22,15,120,15,[67]
1603,8,13,120,13,"[19, 15, 11, 8, 7, 37]"
1604,8,13,120,10,"[19, 15, 11, 8, 7, 37, 38, 36, 32]"
1605,18,13,120,10,"[56, 62, 66, 74, 38, 36, 32]"
1606,22,1,120,17,"[69, 66, 74, 38, 35, 5, 1, 4, 16, 22, 49]"
1607,1,1,120,13,"[2, 7, 37]"
1608,10,13,120,16,"[27, 33, 37, 38, 36, 32, 29]"
1609,19,5,120,8,"[58, 52, 47, 19, 15, 12, 16]"
1610,17,11,120,11,"[52, 48, 27]"
1611,10,13,120,12,"[27, 33, 37, 38]"
1612,21,11,120,9,"[66, 76, 71, 40, 32, 26]"
1613,19,20,120,20,[59]
1614,10,1,120,23,"[26, 23, 11, 8, 5, 2, 7, 37, 39, 76]"
1615,11,11,120,10,[32]
1616,9,5,120,10,"[23, 13, 25]"
1617,16,20,120,20,"[50, 56]"
1618,17,5,120,10,"[52, 47, 19, 15, 13, 25]"
1619,19,1,120,9,"[58, 52, 47, 19, 14, 3, 2, 6, 9, 13]"
1620,7,5,120,16,"[17, 19, 15, 12, 16, 22]"
1621,18,20,120,19,"[56, 61]"
1622,22,5,120,9,"[67, 43, 26, 23, 13]"
1623,1,1,120,14,"[2, 7, 36, 34]"
1624,4,1,120,17,"[8, 5, 1, 4, 16, 22, 49]"
1625,10,1,120,16,"[26, 23, 11, 8, 5, 1, 4, 16, 22]"
1626,8,13,120,17,"[19, 15, 11, 8, 7, 37, 39, 75, 65, 67, 45, 58]"
1627,19,20,120,18,"[59, 60]"
1628,22,5,120,23,"[67, 43, 26, 23, 11, 10, 34, 42]"
1629,12,5,120,7,"[35, 6, 9, 12, 16, 20]"
1630,10,1,120,4,"[26, 23, 11, 8, 5, 2, 6]"
1631,16,20,120,20,"[50, 56]"
1632,1,1,120,11,"[2, 7, 36]"
1633,15,15,120,14,[44]
1634,8,5,120,7,"[19, 15, 12, 16, 20]"
1635,21,11,120,8,"[66, 76, 71, 40, 32, 29, 47]"
1636,22,20,120,20,[68]
1637,19,1,120,8,"[58, 52, 47, 19, 14, 3, 1, 4, 16]"
1638,14,11,120,11,[40]
1639,11,11,50,10,[32]
1640,10,13,120,13,"[27, 33, 37]"
1641,13,13,50,24,[39]
1642,21,5,120,10,"[65, 67, 43, 26, 23, 13, 25]"
1643,10,5,120,23,"[26, 23, 11, 10, 34, 42]"
1644,23,5,120,22,"[71, 40, 31, 9, 13, 25, 28, 46]"
1645,17,11,120,11,"[52, 48, 27]"
1646,19,11,120,11,"[57, 44, 40]"
1647,11,11,50,10,[32]
1648,22,5,120,23,"[67, 43, 26, 23, 11, 10, 34, 42]"
1649,9,5,120,10,"[23, 13, 25]"
1650,17,20,120,20,"[53, 59]"
1651,9,1,120,23,"[23, 11, 8, 5, 2, 7, 37, 39, 76]"
1652,13,13,50,7,"[39, 75, 64, 60, 54]"
1653,18,1,120,10,"[54, 17, 19, 14, 3, 2, 6, 9, 13, 25]"
1654,16,20,120,8,"[50, 56, 60, 54, 17]"
1655,17,1,120,22,"[52, 47, 19, 14, 3, 2, 7, 37, 39, 75, 65]"
1656,15,15,120,16,"[45, 58, 52]"
1657,14,5,120,22,"[40, 31, 9, 13, 25, 28, 46]"
1658,16,20,120,20,"[50, 56]"
1659,8,11,120,18,"[22, 48, 27, 32, 29, 50]"
1660,8,5,120,16,"[19, 15, 12, 16, 22]"
1661,23,20,120,17,"[72, 68, 61, 58]"
1662,7,13,120,10,"[18, 56, 62, 66, 74, 38, 36, 32]"
1663,20,20,120,16,"[60, 55]"
1664,11,11,50,21,"[34, 42, 73, 75]"
1665,12,1,120,16,"[35, 5, 1, 4, 16, 22]"
1666,20,20,50,15,"[61, 57]"
2885,10,15,120,15,[28]
2886,10,13,120,13,"[27, 33, 37]"
2887,10,20,120,20,"[29, 50, 56]"
2888,21,13,120,8,"[66, 74, 38, 35, 6, 9, 12, 16]"
2889,14,5,120,9,"[40, 31, 9, 13]"
2890,16,1,120,8,"[47, 19, 14, 3, 1, 4, 16]"
2891,14,20,120,10,"[41, 45, 59, 60, 55, 48]"
2892,10,15,120,15,[28]
2893,12,15,120,4,"[37, 39, 75, 65, 67, 44, 40, 31]"
2894,19,20,120,23,"[59, 63, 70]"
2895,9,13,120,16,"[25, 27, 33, 37, 38, 36, 32, 29]"
2896,23,11,120,11,"[71, 40]"
2897,16,20,120,7,"[50, 56, 60, 54]"
2898,10,1,120,23,"[26, 23, 11, 8, 5, 2, 7, 37, 39, 76]"
2899,11,11,50,23,"[34, 42]"
2900,6,11,120,12,"[15, 11, 10, 33]"
2901,15,15,50,16,"[45, 58, 52]"
2902,2,1,120,8,"[3, 1, 4, 16]"
2903,15,15,120,20,"[45, 59]"
2904,1,1,120,10,"[2, 6, 9, 13, 25]"
2905,11,11,120,9,"[32, 26]"
2906,17,15,120,15,"[53, 57]"
2907,20,20,120,22,[63]
2908,5,5,120,6,[12]
2909,2,1,120,6,"[3, 1, 4]"
2910,6,13,120,10,"[15, 11, 8, 7, 37, 38, 36, 32]"
2911,8,13,120,21,"[19, 15, 11, 8, 7, 37, 39, 75]"
2912,10,11,120,11,[27]
2913,12,11,120,11,[36]
2914,1,1,50,9,"[2, 6, 9, 13]"
2915,8,11,120,6,"[22, 48, 27, 31, 9, 12]"
2916,18,20,120,19,"[56, 61]"
2917,22,20,120,19,"[68, 61]"
2918,7,13,120,13,"[18, 56, 62, 66, 74]"
2919,17,5,120,10,"[52, 47, 19, 15, 13, 25]"
2920,16,13,120,17,"[48, 27, 33, 37, 39, 75, 65, 67, 45, 58]"
2921,17,11,120,11,"[52, 48, 27]"
2922,11,11,120,10,[32]
2923,8,15,120,15,"[22, 49, 53, 57]"
2924,10,20,120,17,"[29, 50, 56, 61, 58]"
2925,11,11,120,9,"[32, 26]"
2926,10,13,120,22,"[27, 33, 37, 39, 75, 65]"
2927,9,13,120,2,"[25, 27, 33, 37, 38, 35, 5, 1]"
2928,16,1,120,22,"[47, 19, 14, 3, 2, 7, 37, 39, 75, 65]"
2929,16,11,120,14,"[48, 27, 34]"
2930,5,5,120,4,[11]
2931,16,20,120,20,"[50, 56]"
2932,10,13,120,16,"[27, 33, 37, 38, 36, 32, 29]"
2933,10,11,120,7,"[27, 32, 29, 50, 54]"
2934,22,11,120,11,"[67, 44, 40]"
2935,17,11,120,10,"[52, 48, 27, 32]"
2936,10,5,120,17,"[26, 23, 12, 16, 22, 49]"
2937,19,5,120,12,"[58, 52, 47, 19, 15, 11, 8, 7]"
2938,15,15,120,22,[46]
2939,20,20,120,15,"[61, 57]"
2940,4,5,120,3,"[9, 11, 8]"
2941,16,1,120,17,"[47, 19, 14, 3, 1, 4, 16, 22, 49]"
2942,9,11,120,7,"[25, 27, 32, 29, 50, 54]"
2943,22,13,120,21,"[69, 66, 74, 39, 75]"
2944,13,13,120,10,"[38, 36, 32]"
2945,9,15,120,15,"[25, 28]"
2946,9,1,120,10,"[23, 11, 8, 5, 2, 6, 9, 13, 25]"
2947,1,1,120,20,"[1, 4, 16, 20, 18, 56]"
2948,16,20,120,20,"[50, 56]"
2949,13,13,50,21,"[39, 75]"
2950,4,20,120,16,"[9, 12, 16, 20, 18, 56, 60, 55]"
2951,9,11,120,17,"[25, 27, 32, 29, 49]"
